Card_Num,  Card Name,  Type,  Rarity,  Value ($),  Attribute,  Sub Type,  Level,  ATK,  DEF,  Card Text
DCR-000  ,Vampire Lord  , Effect Monster  ,Secret Rare,5.30, Dark  , Zombie  ,5,2000,1500," Each time this card inflicts Battle Damage to your opponent, declare 1 card type (Monster, Spell, or Trap). Your opponent selects 1 card of that type from his/her Deck and sends it to the Graveyard. Also, when this card is destroyed by your opponent's card effect, it is Special Summoned to the field during your next Standby Phase."
DCR-001  ,Battle Footballer  , Normal Monster  ,Common,0.30, Fire  , Machine  ,4,1000,2100, A cyborg with high defense power. Originally it was invented for a football machine.
DCR-002  ,Nin-Ken Dog  , Normal Monster  ,Common,0.50, Wind  , Beast-Warrior  ,4,1800,1000," A Ninja dog who has mastered extreme Ninjitsu. Through hard training, it learned the technique to metamorphose into a human being."
DCR-003  ,Acrobat Monkey  , Normal Monster  ,Common,0.10, Earth  , Machine  ,3,1000,1800, An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acrobatically.
DCR-004  ,Arsenal Summoner  , Effect Monster  ,Common,0.50, Wind  , Spellcaster  ,4,1600,1600," FLIP: Select 1 card that includes Guardian in its card name from your Deck and add it to your hand. You cannot select Celtic Guardian, Winged Dragon, Guardian of the Fortress #1, Winged Dragon, Guardian of the Fortress #2, Guardian of the Labyrinth, or The Reliable Guardian."
DCR-005  ,Guardian Elma  , Effect Monster  ,Common,0.50, Wind  , Fairy  ,3,1300,1200," This card can only be Normal Summoned, Flip Summoned, or Special Summoned when there is a Butterfly Dagger - Elma on your side of the field. When this card is Summoned successfully, you can select 1 appropriate Equip Spell Card in your Graveyard and equip it to this card."
DCR-006  ,Guardian Ceal  , Effect Monster  ,Ultra Rare,10.00, Fire  , Pyro  ,4,1700,1400," This card can only be Normal Summoned, Flip Summoned, or Special Summoned when there is a Shooting Star Bow - Ceal on your side of the field. Send an Equip Spell Card on your side of the field equipped to this card to the Graveyard to destroy 1 monster on your opponent's side of the field."
DCR-007  ,Guardian Grarl  , Effect Monster  ,Ultra Rare,17.00, Earth  , Dinosaur  ,5,2500,1000," This card can only be Normal Summoned, Flip Summoned, or Special Summoned when there is a Gravity Axe - Grarl on your side of the field. If this is the only card in your hand, you can Special Summon it without offering Tributes."
DCR-008  ,Guardian Baou  , Effect Monster  ,Rare,0.80, Dark  , Fiend  ,4,800,400," This card can only be Normal Summoned, Flip Summoned, or Special Summoned when there is a Wicked-Breaking Flamberge - Baou on your side of the field. Each time 1 of your opponent's monster is destroyed and sent to the Graveyard in battle by this monster, increase the ATK of this card by 1000 points. Also negate the effect of an Effect Monster that is destroyed by this monster in battle."
DCR-009  ,Guardian Kay'est  , Effect Monster  ,Common,0.50, Water  , Sea Serpent  ,4,1000,1800," This card can only be Normal Summoned, Flip Summoned, or Special Summoned when there is a Rod os Silence - Kay'est on your side of the field. This card is unaffected by any Spell Cards and cannot be attacked by your opponent's monsters."
